pdb_id,uniprot_id,asd90,allosite,passer_ensemble,allo,allositepro,allopred,passer_automl,passer_rank
2DJZ,O57883,False,False,False,False,False,False,True,True
2EWN,P06709,True,True,True,False,False,False,True,True
2FSZ,Q92731,False,False,False,False,False,False,True,True
2GS7,P00533,True,True,True,False,False,False,False,False
2H08,P60891,False,False,False,False,False,False,True,True
2HA4,P21836,False,False,False,False,False,False,True,True
2HIM,P0A962,False,False,False,True,True,True,False,False
2HVW,Q8DSE5,False,False,False,False,True,True,True,True
2I7N,Q8TE04,False,False,False,True,True,False,False,False
2I7P,Q9H999,False,False,False,False,False,False,True,True
2I80,Q5HEB7,True,True,True,False,False,False,True,True
2JC9,P49902,False,False,False,False,False,False,True,True
2JFN,P22634,False,False,False,True,True,True,True,True
2JFZ,Q9ZLT0,False,False,False,False,False,False,True,True
2JHR,P08799,False,False,False,True,True,True,False,False
2LDB,P00344,False,False,False,False,True,True,False,False
2O8B,P43246,False,False,False,False,False,False,True,True
2OI2,A0A0H2UNK6,True,True,True,False,False,False,False,False
2ONB,P04818,False,False,False,False,False,False,True,True
2ORO,P29477,False,False,False,False,False,False,True,True
2P2N,P0A962,False,False,False,False,False,False,True,True
2PA3,P0A9T0,False,False,False,False,False,False,True,True
2PIO,P10275,False,False,False,False,False,False,True,True
2POC,P53704,True,True,True,False,False,False,False,False
2PUC,P0ACP7,True,True,True,False,False,False,False,False
2PUV,P53704,False,False,False,True,True,True,True,True
2Q5O,P51852,True,True,True,True,True,True,True,True
2Q8M,P0A993,False,False,False,False,True,True,False,False
2QB4,O67854,False,False,False,False,False,False,True,True
2QF7,Q2K340,True,True,True,False,False,False,False,False
2QMX,Q8KBW6,False,False,False,False,False,False,True,True
2R1R,P00452,True,True,True,False,False,False,True,True
2RD5,Q9SCL7,False,False,False,True,True,True,False,False
2RDE,A0A0H3ADR8,False,False,False,False,True,True,True,True
2UYI,P52732,False,False,False,False,False,False,True,True
2V4Y,P0A7E9,False,False,False,False,True,True,False,False
2V92,P80385,True,True,True,False,False,False,False,False
2VD3,O27550,False,False,False,True,True,True,True,True
